SenWarren,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenEricSchmitt,@SenTuberville,@HawleyMO,@SenEricSchmitt,@SenSchumer,,,,,,,,,,,,,,,,,,,,,,,
SenGaryPeters,@SenStabenow,@SenGaryPeters,@SenRandPaul,,,,,,,,,,,,,,,,,,,,,,,,
SenVancePress,@SenRickScott,@JeffMerkley,@marcorubio,@SenVancePress,@SenRandPaul,@RogerMarshallMD,@SenatorTimScott,@SenAmyKlobuchar,,,,,,,,,,,,,,,,,,,
SenJackReed,@ChrisCoons,@SenTuberville,@SenatorSinema,@SenBlumenthal,@SenWhitehouse,@SenatorWicker,@JeffMerkley,@SenBooker,@SenJackReed,@SenWarren,@SenKatieBritt,@SenatorFischer,@SenFettermanPA,@SenatorCollins,@SenatorCardin,@SenAmyKlobuchar,,,,,,,,,,,
SenJackyRosen,@SenSherrodBrown,@SenJackyRosen,@SenatorTester,@SenCortezMasto,@MarshaBlackburn,@SenSchumer,@SenatorLankford,@SenatorBaldwin,@SenJoniErnst,,,,,,,,,,,,,,,,,,
SenatorLankford,@SenHydeSmith,@SenThomTillis,@SenatorSinema,@SenJackyRosen,@SenatorBennet,@JeffMerkley,@MarshaBlackburn,@SenatorLankford,@SenKatieBritt,@SenTomCotton,@JohnCornyn,@SenatorTimScott,@LeaderMcConnell,@SenMullin,@SenJoniErnst,,,,,,,,,,,,
SenatorShaheen,@SenatorDurbin,@SenJeffMerkley,@SenTinaSmith,@JeffMerkley,@SenBooker,@SenDuckworth,@SenatorShaheen,@ChrisVanHollen,@SenatorRomney,@MarkWarner,@SenPeterWelch,@SenWarren,@SenatorHassan,@SenTimKaine,,,,,,,,,,,,,
SenJeffMerkley,@RonWyden,@SenatorDurbin,@SenJeffMerkley,@SenGillibrand,@SenTinaSmith,@SenBooker,@SenDuckworth,@ChrisVanHollen,@SenatorShaheen,@SenWarren,@MarkWarner,@SenPeterWelch,@SenSanders,@SenTimKaine,,,,,,,,,,,,,
JerryMoran,@SenJohnHoeven,@SenatorTester,@JohnBoozman,@SenJohnThune,@JerryMoran,@PattyMurray,@RogerMarshallMD,@SenatorBaldwin,@SteveDaines,@SenAmyKlobuchar,,,,,,,,,,,,,,,,,
SenatorRisch,@SenJohnHoeven,@SenJeffMerkley,@SenatorWicker,@MikeCrapo,@SenBooker,@SenatorRomney,@marcorubio,@SenatorMenendez,@SenatorTimScott,@SenatorCollins,@SenatorRisch,@BillCassidy,@SenJohnThune,@lisamurkowski,,,,,,,,,,,,,
JoeManchinIII,@JoeManchinIII,,,,,,,,,,,,,,,,,,,,,,,,,,
SenJohnBarrasso,@SenRickScott,@SenatorSinema,@SenSanders,@SenJohnBarrasso,@MarshaBlackburn,@HawleyMO,@SenMikeLee,@SenatorMenendez,@SenatorRicketts,@JohnCornyn,@SenTedCruz,,,,,,,,,,,,,,,,
JohnBoozman,@SenStabenow,@JohnBoozman,@SenJohnThune,@SenatorBraun,@MarshaBlackburn,@MikeCrapo,@SenatorHagerty,@SenTedCruz,,,,,,,,,,,,,,,,,,,
JohnCornyn,@SenatorBraun,@SenatorCollins,@SenTomCotton,@BillCassidy,@JohnCornyn,@SenJohnThune,@LeaderMcConnell,@SenTedCruz,,,,,,,,,,,,,,,,,,,
SenFettermanPA,@SenTuberville,@SenSchumer,@SenWarren,@SenFettermanPA,,,,,,,,,,,,,,,,,,,,,,,
SenatorHick,@SenatorTester,@SenatorHick,@SenatorSinema,,,,,,,,,,,,,,,,,,,,,,,,
SenJohnHoeven,@SenJohnHoeven,@SenThomTillis,@SenKevinCramer,@SteveDaines,@SenJohnThune,@JerryMoran,@SenatorRomney,@marcorubio,@SenKatieBritt,@SenatorCollins,@SenatorRisch,@BillCassidy,@SenatorTimScott,@SenAmyKlobuchar,@lisamurkowski,,,,,,,,,,,,
SenJohnKennedy,@SenJohnKennedy,@SenTedCruz,@JeffMerkley,,,,,,,,,,,,,,,,,,,,,,,,
SenJohnThune,@JohnBoozman,@SenatorBraun,@SenJohnBarrasso,@SenBooker,@MarshaBlackburn,@JerryMoran,@LeaderMcConnell,@SenTomCotton,@JohnCornyn,@SteveDaines,@SenTedCruz,@SenJohnHoeven,@SenatorCollins,@BillCassidy,@SenJohnThune,@SenJoniErnst,@SenJeffMerkley,@JeffMerkley,@MikeCrapo,@SenatorMenendez,@SenatorRisch,@SenatorRounds,@SenatorTimScott,,,,
ossoff,@SenSherrodBrown,@SenRickScott,@SenThomTillis,@ReverendWarnock,@SenDuckworth,@ossoff,@marcorubio,@SenFettermanPA,@SenSanders,@SenTomCotton,@SenAmyKlobuchar,@SenMarkKelly,,,,,,,,,,,,,,,
SenatorTester,@SenatorTester,@SenSherrodBrown,@LeaderMcConnell,@SenJackyRosen,,,,,,,,,,,,,,,,,,,,,,,
SenJoniErnst,@SenTuberville,@SenToddYoung,@SenBlumenthal,@JeffMerkley,@SenSchumer,@SenatorRomney,@SenRandPaul,@SenJoniErnst,,,,,,,,,,,,,,,,,,,
HawleyMO,@JeffMerkley,@HawleyMO,@SenatorTimScott,@marcorubio,@SenRandPaul,@SenTedCruz,@LeaderMcConnell,,,,,,,,,,,,,,,,,,,,
SenKatieBritt,@SenHydeSmith,@SenTuberville,@SenJohnHoeven,@MarshaBlackburn,@lisamurkowski,@SenatorRomney,@marcorubio,@SenatorLankford,@SenKatieBritt,@SenatorCollins,@SenatorRisch,@BillCassidy,@JohnCornyn,@SenatorTimScott,@SenJoniErnst,,,,,,,,,,,,
SenKevinCramer,@SenJohnHoeven,@SenKevinCramer,@SenRickScott,@SenatorBraun,@MarshaBlackburn,@HawleyMO,@marcorubio,@RogerMarshallMD,@SenJoniErnst,,,,,,,,,,,,,,,,,,
SenGillibrand,@SenJeffMerkley,@SenGillibrand,@SenSchumer,@SenWarren,@SenLummis,@SenatorBaldwin,@SenSanders,,,,,,,,,,,,,,,,,,,,
SenatorSinema,@SenTuberville,@SenatorSinema,@MikeCrapo,@SenSchumer,@SenatorRomney,@SenMikeLee,@SenatorBaldwin,@SenMarkKelly,,,,,,,,,,,,,,,,,,,
Senlaphonza,@Senlaphonza,,,,,,,,,,,,,,,,,,,,,,,,,,
JeffMerkley,@SenBlumenthal,@JeffMerkley,@HawleyMO,@SenWarren,@SenatorRomney,@SenatorTimScott,@SenTomCotton,@SenSanders,@SenTedCruz,,,,,,,,,,,,,,,,,,
lisamurkowski,@SenJohnHoeven,@SenatorSinema,@SenatorRomney,@marcorubio,@SenatorCollins,@SenKatieBritt,@SenatorRisch,@BillCassidy,@SenatorTimScott,@lisamurkowski,,,,,,,,,,,,,,,,,
SenatorHassan,@SenatorShaheen,@SenatorHassan,@SenJoniErnst,,,,,,,,,,,,,,,,,,,,,,,,
marcorubio,@SenTuberville,@SenJohnHoeven,@SenRickScott,@SenatorRomney,@marcorubio,@SenKatieBritt,@SenatorCollins,@SenatorRisch,@BillCassidy,@SenatorTimScott,@lisamurkowski,,,,,,,,,,,,,,,,
SenatorCantwell,@SenatorDurbin,@SenatorCantwell,@PattyMurray,@SenWarren,@SenSanders,,,,,,,,,,,,,,,,,,,,,,
SenMarkKelly,@SenSherrodBrown,@SenTuberville,@SenRickScott,@SenatorSinema,@ReverendWarnock,@SenMarkKelly,@SenSanders,@SenBooker,@SenDuckworth,@SenAmyKlobuchar,@ossoff,@marcorubio,@SenRandPaul,@SenFettermanPA,@SenatorTimScott,@SenTedCruz,@SenJoniErnst,,,,,,,,,,
MarkWarner,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenMullin,@JohnCornyn,@SenSanders,@SenatorLankford,@SenMullin,,,,,,,,,,,,,,,,,,,,,,,
MarshaBlackburn,@MarshaBlackburn,@SenatorDurbin,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorHeinrich,@SenSchumer,@SenatorRounds,@SenatorHeinrich,,,,,,,,,,,,,,,,,,,,,,,,
maziehirono,@maziehirono,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorBennet,@SenThomTillis,@SenatorSinema,@JeffMerkley,@SenBooker,@lisamurkowski,@SenAmyKlobuchar,@SenWarren,@SenPeterWelch,@SenLummis,@SenRandPaul,@SenatorLankford,@SenatorRomney,@SenSanders,@LeaderMcConnell,@SenatorBennet,@SenTimKaine,,,,,,,,,,,
SenatorBraun,@SenStabenow,@Senlaphonza,@SenRickScott,@JohnBoozman,@SenatorBraun,@MarshaBlackburn,@MikeCrapo,@SenatorRomney,@SenatorHagerty,@SenatorCollins,@SenTomCotton,@SenatorCarper,@BillCassidy,@SenatorCardin,@JohnCornyn,@SenJohnThune,@SenTedCruz,,,,,,,,,,
MikeCrapo,@RonWyden,@SenJohnHoeven,@SenGaryPeters,@JohnBoozman,@SenatorWicker,@SenatorBraun,@MikeCrapo,@MarshaBlackburn,@SenatorRomney,@SenatorTimScott,@SenatorHagerty,@SenMikeLee,@SenatorRisch,@JohnCornyn,@SenJohnThune,@SenTedCruz,,,,,,,,,,,
SenMikeLee,@SenTuberville,@SenThomTillis,@SenRickScott,@ChuckGrassley,@SenatorSinema,@MarshaBlackburn,@MikeCrapo,@HawleyMO,@SenatorRomney,@SenMikeLee,@RogerMarshallMD,@SenRandPaul,@marcorubio,@SenatorCollins,@SenatorTimScott,@SenTedCruz,,,,,,,,,,,
SenatorRounds,@SenTinaSmith,@SenSchumer,@SenatorRomney,@SenatorHeinrich,@SenatorTimScott,@SenatorRicketts,@SenatorRounds,@SenJohnThune,,,,,,,,,,,,,,,,,,,
LeaderMcConnell,@SenTuberville,@SenatorWicker,@JeffMerkley,@HawleyMO,@SenatorRomney,@SenWarren,@SenSchumer,@SenRandPaul,@SenatorCardin,@SenSanders,@LeaderMcConnell,@SenTedCruz,,,,,,,,,,,,,,,
SenatorRomney,@SenSherrodBrown,@SenatorSinema,@JeffMerkley,@MikeCrapo,@SenatorRomney,@SenMikeLee,@SenFettermanPA,@SenJoniErnst,,,,,,,,,,,,,,,,,,,
PattyMurray,@SenSherrodBrown,@SenHydeSmith,@SenatorCantwell,@PattyMurray,@SenatorCollins,@SenatorBaldwin,,,,,,,,,,,,,,,,,,,,,
SenatorRicketts,@SenatorRounds,@SenJohnBarrasso,@SenSchumer,@SenatorRomney,@SenatorTimScott,@SenatorCarper,@RogerMarshallMD,@SenatorRicketts,@JohnCornyn,@SenTedCruz,,,,,,,,,,,,,,,,,
SenPeterWelch,@SenSherrodBrown,@SenatorDurbin,@SenJeffMerkley,@SenBlumenthal,@SenatorBennet,@SenTinaSmith,@ChrisVanHollen,@SenBooker,@SenDuckworth,@SenatorShaheen,@SenPeterWelch,@MarkWarner,@SenWarren,@SenSanders,@SenAmyKlobuchar,@SenTimKaine,,,,,,,,,,,
SenRandPaul,@HawleyMO,@SenRandPaul,@SenTomCotton,@SenTedCruz,@LeaderMcConnell,,,,,,,,,,,,,,,,,,,,,,
ReverendWarnock,@SenSherrodBrown,@SenRickScott,@ReverendWarnock,@SenBooker,@SenDuckworth,@ossoff,@marcorubio,@SenatorTimScott,@SenFettermanPA,@SenSanders,@SenAmyKlobuchar,@SenMarkKelly,,,,,,,,,,,,,,,
SenBlumenthal,@ChrisCoons,@SenTimKaine,@SenBlumenthal,@ChrisVanHollen,@JeffMerkley,@SenBooker,@SenDuckworth,@SenSchumer,@SenWarren,@SenJackReed,@SenKatieBritt,@SenatorCollins,@SenFettermanPA,@SenPeterWelch,@SenatorCardin,@SenSanders,@SenAmyKlobuchar,@SenJoniErnst,,,,,,,,,
SenRickScott,@SenTuberville,@SenRickScott,@SenatorDurbin,@SenJohnBarrasso,@MarshaBlackburn,@SenTedBuddNC,@HawleyMO,@marcorubio,@SenMikeLee,@SenTedCruz,@LeaderMcConnell,,,,,,,,,,,,,,,,
RogerMarshallMD,@SenTuberville,@SenThomTillis,@SenRickScott,@SenatorDurbin,@SenKevinCramer,@JerryMoran,@HawleyMO,@SenMikeLee,@RogerMarshallMD,@SenRandPaul,@SenLummis,@SenVancePress,@marcorubio,@SenatorTimScott,,,,,,,,,,,,,
SenatorWicker,@SenHydeSmith,@JohnBoozman,@SenatorWicker,@JeffMerkley,@MikeCrapo,@SenJackReed,@marcorubio,@SenatorRisch,@SenatorCardin,@SenatorTimScott,@LeaderMcConnell,@SenTedCruz,,,,,,,,,,,,,,,
RonWyden,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenRonJohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenWhitehouse,@SenWhitehouse,@SenJackReed,@SenatorDurbin,,,,,,,,,,,,,,,,,,,,,,,,
SenCapito,@SenCapito,@JeffMerkley,@SenJoniErnst,,,,,,,,,,,,,,,,,,,,,,,,
SenSherrodBrown,@SenSherrodBrown,@SenJackyRosen,@SenatorTester,@SenJeffMerkley,@SenatorRomney,@SenWarren,@SenVancePress,@SenRandPaul,@SenFettermanPA,@SenSanders,,,,,,,,,,,,,,,,,
SteveDaines,@SenTuberville,@SenJohnHoeven,@SenJohnThune,@JerryMoran,@HawleyMO,@SteveDaines,,,,,,,,,,,,,,,,,,,,,
SenatorBaldwin,@SenatorSinema,@SenJeffMerkley,@SenBobCasey,@SenGillibrand,@PattyMurray,@SenWarren,@SenatorBaldwin,@SenSanders,@LeaderMcConnell,@SenAmyKlobuchar,,,,,,,,,,,,,,,,,
SenDuckworth,@SenBooker,@SenPeterWelch,@SenFettermanPA,@SenatorDurbin,@SenBlumenthal,@ReverendWarnock,@ChrisVanHollen,@SenWarren,@ossoff,@SenDuckworth,@SenatorShaheen,@SenSchumer,@SenSanders,@SenMarkKelly,@SenSherrodBrown,@SenJeffMerkley,@SenTinaSmith,@MarkWarner,@SenAmyKlobuchar,@SenTimKaine,,,,,,,
SenTedBuddNC,@SenTedBuddNC,@SenRickScott,@SenThomTillis,,,,,,,,,,,,,,,,,,,,,,,,
SenTedCruz,@SenatorRomney,@SenTedCruz,,,,,,,,,,,,,,,,,,,,,,,,,
SenThomTillis,@SenatorSinema,@LeaderMcConnell,@SenatorBennet,@SenThomTillis,@SenatorHick,@SenTedBuddNC,@ossoff,@SenatorRomney,@RogerMarshallMD,@SenRandPaul,@SenTomCotton,@JohnCornyn,@SenJohnHoeven,@SenatorCollins,@SenRickScott,@JeffMerkley,@SenMikeLee,@SenatorLankford,@SenatorTimScott,@SenAmyKlobuchar,,,,,,,
SenTimKaine,@SenTuberville,@SenatorDurbin,@SenJeffMerkley,@SenTinaSmith,@ChrisVanHollen,@SenBooker,@SenDuckworth,@SenatorShaheen,@SenPeterWelch,@MarkWarner,@SenWarren,@SenRandPaul,@SenatorCardin,@SenTimKaine,,,,,,,,,,,,,
SenatorTimScott,@SenHydeSmith,@SenatorRounds,@SenRickScott,@ReverendWarnock,@SenMarkKelly,@JeffMerkley,@SenBooker,@MarshaBlackburn,@HawleyMO,@marcorubio,@SenatorLankford,@SenRandPaul,@SenTomCotton,@SenKatieBritt,@JohnCornyn,@SenatorTimScott,@SenTedCruz,@SenJoniErnst,,,,,,,,,
SenTinaSmith,@SenatorDurbin,@SenJeffMerkley,@SenTinaSmith,@ChrisVanHollen,@SenBooker,@SenDuckworth,@SenatorShaheen,@SenPeterWelch,@MarkWarner,@SenWarren,@SenatorRounds,@SenSanders,@SenAmyKlobuchar,@SenTimKaine,,,,,,,,,,,,,
SenToddYoung,@SenToddYoung,@JeffMerkley,@SenJoniErnst,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCarper,@SenStabenow,@Senlaphonza,@SenatorCardin,@SenatorBraun,@SenatorRomney,@SenatorCarper,@ChrisCoons,@SenatorRicketts,,,,,,,,,,,,,,,,,,,
SenTomCotton,@SenTuberville,@SenJohnThune,@JeffMerkley,@SenatorCollins,@SenTomCotton,@JohnCornyn,@SenTedCruz,,,,,,,,,,,,,,,,,,,,
SenTuberville,@SenTuberville,@SenAmyKlobuchar,@SenEricSchmitt,@SenMullin,@SenJoniErnst,,,,,,,,,,,,,,,,,,,,,,
