twitter_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorBennet,@GovofCO,@RepJasonCrow,@clairecmc,@SenBlumenthal,@ChrisMurphyCT,@PattyMurray,@MarkWarner,@SenatorDurbin,@SenWhitehouse,@timkaine,@SenDuckworth,@SenatorTester,@maziehirono,@SenatorHick,@SenFeinstein,@SenSherrodBrown,@SenBobCasey,@ChrisCoons,@SenGaryPeters,@SenatorBaldwin,@SenPeterWelch,@amy_friedman01,@MayorofCOS,@COStateFire,@BLMColoradoFire,@NIFC_Fire,@NWSGJT,@NWSPueblo,@NWSBoulder,@CityofDenver,@RepPettersen,@HistoryColorado,@USFWS,@NatlParkService,@BLMNational,@988Lifeline,@CapitolPolice,@USDA,@SenatorRomney,@rolliwrites,@NWF,@ColoradoNewsCCM,@ElliottWenzler,@CoreyHutchins,@tswarens,@SenMarkKelly,@KOAColorado,@RepJoeNeguse,@nivassoc,@leslieherod,@NickTimiraos,@jadhavpc,@hudsonsboys,@cgrisales,@carneyval,@AdamRBond,@gbtking,@bs_giudicelli,@jamee_lock,@LaurenWeberHP,@seventhsteppray,@sarahnevon,@Dom_GarciaTV,@crampell,@Gadgetress,@chrisvanderveen,@DailySentinelGJ,@jasonblevins,,,
SenatorHick,@NASA,@RepJasonCrow,@GovofCO,@SenatorWarnock,@SenatorTester,@SenatorBennet,@SecDebHaaland,@SenMarkKelly,@SenGaryPeters,@maziehirono,@SenAlexPadilla,@gillibrandny,@brianschatz,@SenSherrodBrown,@SenJackyRosen,@SenTinaSmith,@SenatorHassan,@KyleClark,@ColoradoSun,@RepJoeNeguse,@anthonyrivrod,@SenFettermanPA,@alyssaaroberts,@AlexLasryWI,@denverrescue,@usfs_rmrs,@ChaffeeComBaker,@ProtectOurCare,@lpackard,@karinbrulliard,@frankthorp,@US_FDA,@SecMayorkas,@capitalweather,@Ariel_Peele,@AymanMSNBC,@AymanM,@Simone_Biles,@CSBizJournal,@KOAA,@GreatDunesNPS,@RockyNPS,@Montrose_County,@COcounties,@NamasteSolar,@KKTV11News,@StationCDRKelly,@theavettbros,@LightningeMtrs,@JoeNeguse,@tcski2014,@SamanthaAUSA,@MayorofCOS,@OlympicCityUSA,@USOPMuseum,@NATLCyberCenter,@SwitchbacksFC,@WSCarpenters,@HyoungChang,@ENERGYSpox,@ENERGY,@555Colorado,@tooningout,@McCluskieforCO,@SRuhle,@MSNBC_reports,@PassTheCOREAct,@GabbyGiffords,@COLocalAffairs,@JonMurray,
SenBlumenthal,@NASA,@ChrisMurphyCT,@SenWhitehouse,@SenatorDurbin,@SenFeinstein,@SenGillibrand,@timkaine,@maziehirono,@MarkWarner,@SenDuckworth,@clairecmc,@PattyMurray,@RepSwalwell,@SenateDems,@AriMelber,@thereidout,@DavidCornDC,@ChrisCoons,@RonWyden,@SenatorLeahy,@RepMaxwellFrost,@SenPeterWelch,@SenFettermanPA,@POTUS,@AuschwitzMuseum,@DFADCoalition,@SenAlexPadilla,@TruthinAd,@gillibrandny,@SenOssoff,@SenatorWarnock,@SenatorHick,@SenatorLujan,@SenMarkKelly,@EthansLaw2,@DrLeanaWen,@GovNedLamont,@RepJahanaHayes,@SenatorSinema,@SenJackyRosen,@zachdcarter,@IndivisibleTeam,@MoveOn,@NewHavenPatch,@MilfordCTPatch,@2RoadsBrewing,@SenJudiciaryGOP,@RepThompson,@nytopinion,@SRuhle,@KatyTurNBC,@TheBeatWithAri,@hartfordline,@AmtrakNECAlerts,@GreenwichPatch,@GreenwichTime,@mattingoglia,@SenAmyKlobuchar,@davidhogg111,@LindseyGrahamSC,@Turnout_Tuesday,@NicoleHockley,@AMarch4OurLives,@schoolwalkoutUS,@SenBooker,@maggieNYT,@BPTHOSP,@SharedHope,,,
ChrisMurphyCT,@AVindman,@SenBlumenthal,@NatashaBertrand,@WHCOS,@clairecmc,@timkaine,@brianschatz,@SenatorDurbin,@costareports,@capitolwatch,@chrispkeating,@CTMirrorPaz,@ctnewsjunkie,@CTMirrorKeith,@blockhart1,@Gary4CT,@CTDems,@ColinKahl,@jmart,@GovNedLamont,@SheppardState,@UConnMBB,@MorePerfectUS,@ctblogger,@ParkerMolloy,@matthewstoller,@AdamSerwer,@ChristineEmba,@amoshochstein,@charliebilello,@ryancassidycbb,@nancy_wickett,@RobAtkinsonITIF,@Tim_Shenk,@oren_cass,@wojespn,@JDVance1,@WUTangKids,@karaswisher,@tbonier,@David_J_Bier,@JakeSherman,@JohnRSamuelsen,@GavinNewsom,@tylercowen,@CNLiberalism,@SteveKerr,@kerrywashington,@politico,@RoKhanna,@RepRoKhanna,@SenJackyRosen,@davidshor,@laurnorman,@JuliusKrein,@SamAdlerBell,@annakhachiyan,@kaschuta,@RexChapman,@SenTedCruz,@JohnCornyn,@KirilPetkov,@KevinOConnorNBA,@Advance_CT,@NPR,@IAPonomarenko,@PhillipsPOBrien,@TheStudyofWar,@konrad_muzyka,,
SenatorCarper,@NASA,@ChrisCoons,@SenatorCardin,@ChrisVanHollen,@SenBlumenthal,@PattyMurray,@SenWhitehouse,@SenJackReed,@SenatorDurbin,@SenGaryPeters,@SenBobCasey,@maziehirono,@SenatorTester,@MikeCrapo,@SenatorCantwell,@SenatorBaldwin,@SenatorShaheen,@SenJeffMerkley,@SenatorMenendez,@SenAngusKing,@Delaware_FB,@BrianPCunningha,@Senlaphonza,@AlexTerr01,@SenPeterWelch,@ZelenskyyUa,@GreaterMiltonDE,@GovPierluisi,@CapitolPolice,@philagear,@FTA_DOT,@BhattmobileT,@strick_jake,@SenFettermanPA,@katiegrasso,@AH_Woody,@ThirdWayKessler,@SecVetAffairs,@IRSnews,@Zmxradio,@ts_smith_opm,@SenAmyKlobuchar,@JeffJacksonNC,@oliviaacdaviss,@AmbassadorTai,@FAANews,@TheHillEvents,@MarcusWRobinson,@actonclimateUS,@nicholaswu12,@SECNAV75,@GuatemalaGob,@MollyMcvety,@USEmbassyMEX,@m_ebrard,@KenSalazar,@USAmbMex,@lopezobrador_,@RepJerryCarl,@RepAdrianSmith,@NBDabrowski,@jeremydillonDC,@jrpsaki,@RepDwightEvans,@IanSams46,@Eagles,@smittyPA,@LtGovernorDE,@nick_sobczyk,@radhikafox,
ChrisCoons,@SenBlumenthal,@AliVelshi,@SenWhitehouse,@SenatorCarper,@ChrisMurphyCT,@SenatorDurbin,@maziehirono,@MarkWarner,@PattyMurray,@clairecmc,@SenatorLeahy,@SenateDems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcorubio,@SpeakerMcCarthy,@marklevinshow,@tedcruz,@RonDeSantis,@GovRonDeSantis,@RandPaul,@SenTedCruz,@Jim_Jordan,@RealBenCarson,@Mike_Pence,@seanhannity,@HouseGOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenRickScott,@RonDeSantis,@SpeakerMcCarthy,@ScottforFlorida,@SenTedCruz,@MarshaBlackburn,@marcorubio,@ChuckGrassley,@SenJohnKennedy,@SenatorTimScott,@SenKevinCramer,@mattgaetz,@SenTomCotton,@SenMarcoRubio,@SenMikeLee,@SenateGOP,@SenatorRomney,@SenEricSchmitt,@ElbazStarinsky,@SpeakerJohnson,@SenatorRicketts,@SheriffLeeFL,@BCDInstitute,@jdanielferrer,@AIPAC,@USArmy,@HSGAC_GOP,@freedomcaucus,@RogerMarshallMD,@HouseGOP,@SenTuberville,@SenatorBraun,@GLFOP,@SASCGOP,@BillMelugin_,@SenVancePress,@SarasotaSheriff,@SenKatieBritt,@SenMullin,@PolkCoSheriff,@SenTedBuddNC,@BasedMikeLee,@SquawkCNBC,@NHC_Surge,@SFLRedCross,@NWSDirector,@blckriflecoffee,@josephzeballos,@TomTugendhat,@PhilipWegmann,,,,,,,,,,,,,,,,,,,,,,
ossoff,@NASA,@ReverendWarnock,@PeteButtigieg,@POTUS,@staceyabrams,@RepAdamSchiff,@JoeBiden,@RepRaskin,@SenSchumer,@Yamiche,@jrpsaki,@VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReverendWarnock,@ossoff,@PeteButtigieg,@staceyabrams,@JoyAnnReid,@VP,@K_JeanPierre,@DrBiden,@BetoORourke,@amyklobuchar,@ReallyAmerican1,@kylegriffin1,@mmpadellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
