twitter_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RogerMarshallMD,@TimRunsHisMouth,@greg_price11,@RepJamesComer,@HawleyMO,@SenJohnKennedy,@RepGregSteube,@GlennYoungkin,@RepJimBanks,@SenatorBraun,@SenKevinCramer,@SenHawleyPress,@mschlapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JerryMoran,@NASA,@SenatorRisch,@MikeCrapo,@SenPatRoberts,@SenJohnHoeven,@JohnBoozman,@SenatorWicker,@SenJohnBarrasso,@SenatorFischer,@SenatorEnzi,@RoyBlunt,@SenThomTillis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeaderMcConnell,@Mike_Pence,@SenTedCruz,@RandPaul,@ChuckGrassley,@marcorubio,@VP45,@SenJohnKennedy,@SenateGOP,@SenatorTimScott,@SenTomCotton,@MarshaBlackburn,@SRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenRandPaul,@NASA,@RandPaul,@SenEricSchmitt,@SenJohnKennedy,@SenRonJohnson,@MonicaCrowley,@kimguilfoyle,@LisaMarieBoothe,@SenatorBraun,@dbongino,@FaulknerFocus,@SRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillCassidy,@JeffLandry,@SenCapito,@RepGarretGraves,@SenatorTimScott,@RoyBlunt,@RepGusBilirakis,@SenatorBurr,@RepLarryBucshon,@SenAlexander,@SenBillCassidy,@SenatorLankford,@SpeakerMcCarthy,@johnthune,@TeamTimScott,@BretBaier,@BrianKempGA,@johnrobertsFox,@WesleyHuntTX,@mschlapp,@ShannonBream,@guypbenson,@TomCottonAR,@votetimscott,@mollyerinb,@ShannonHeckt,@barrassoforwyo,@MikeLeeforUtah,@EddieRispone,@mgodard,@CHNOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenJohnKennedy,@SpeakerMcCarthy,@HawleyMO,@SenTedCruz,@MarshaBlackburn,@RandPaul,@ChuckGrassley,@MariaBartiromo,@greggutfeld,@JudicialWatch,@SenTomCotton,@SenRonJohnson,@SenHawleyPress,@Gutfeldfox,@kimguilfoyle,@SenKevinCramer,@kilmeade,@SenatorBraun,@MikeCrapo,@SenatorRomney,@SenBillCassidy,@SenVancePress,@DebbieSkrmetta,@HelenaMorenoLA,@brithume,@ylanmui,@SRCC,@SenateForeign,@POLITICOPro,@SHO_TheCircus,@CollegeGameDay,@mcuban,@ONDCP45,@RodneyDavis,@JohnRatcliffe,@RepMarkGreen,@weatherchannel,@CWatkinsNews,@dbongino,@DebbieLesko,@RepGolden,@StephGrisham45,@MKhan47,@RogerMarshallMD,@FORSCOM,@emily_woodruff_,@NASA_SLS,@LABudgetProject,@CQnow,@CNNPolitics,@nprpolitics,@USTreasury,@DanScavino,@MarthaMcSally,@CBSEveningNews,@NorahODonnell,@jdickerson,@kasie,@RepAdamSchiff,@RepMaxineWaters,@JoeBiden,@NPRinskeep,@LouisianaCNavy,@saksappeal,@BoeingSpace,@henryrodgersdc,@NOPDNews,@AmericaNewsroom,@BillHemmer,,,
SenatorCollins,@ChuckGrassley,@lisamurkowski,@SenSchumer,@LeaderMcConnell,@SenBlumenthal,@MikeCrapo,@SenJohnHoeven,@SenGillibrand,@SenMikeLee,@SenatorRisch,@SenBobCorker,@SenFeinstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenAngusKing,@NASA,@SenBlumenthal,@SenWhitehouse,@PattyMurray,@MarkWarner,@SenatorDurbin,@SenatorCollins,@timkaine,@maziehirono,@ChrisMurphyCT,@ChrisCoons,@SenDuckworth,@jon_wertheim,@SenMarkKelly,@ASP,@JRosenworcel,@TheStalwart,@ChrisVanHollen,@GovJanetMills,@CyberSolarium,@HowellONeill,@SteveCollinsSJ,@RepGallagher,@RepGolden,@ClayGordonNews,@payneco,@VP,@SenJohnKennedy,@BiathleteEgan,@brianschatz,@JackFaherty207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCardin,@NASA,@ChrisVanHollen,@SenBlumenthal,@SenatorDurbin,@PattyMurray,@SenatorCarper,@ChrisCoons,@MarkWarner,@SenWhitehouse,@SenJackReed,@SenBobCasey,@SenGaryPeters,@SenatorMenendez,@SenatorCantwell,@maziehirono,@ChrisMurphyCT,@SenatorShaheen,@SenJeffMerkley,@SenFeinstein,@SenatorRisch,@TBlackNews,@NLintheUSA,@OMarkarova,@LaphonzaB,@Senlaphonza,@HeraldMailNews,@SecYellen,@_RoderickLewis,@@_RoderickLewis,@RepCasar,@US_FDA,@WintrodeBrenda,@CapitolPolice,@MDDisabilities,@thearcofpgc,@RepJasmine,@USWNT,@dawn_gile,@ElectEdelson,@WashMystics,@BirdlandInsider,@DC_PSC,@DawnFlytheMoore,@LtGovMiller,@RuthAnnNorton,@BobbyBraun,@MsRebeccaBaker,@GoncharenkoUa,@pgccnews,@TerpsBaseball,@BioHubMaryland,@LisaLoeb,@TheMoCoSnow,@HouseJudiciary,@HoCo_Library,@pedbikeinfo,@EqualityCaucus,@CBCDemClub,@Univ_System_MD,@LisaMirandoCNN,@Bruce45Sports,@karentravers,@BaltCoDemParty,@RepJoeMorelle,@MdCoastalBays,@kimdaceywbal,@TheArcCCR,@PGCSprout,@KevinBohn,@TomRodgersNews,@CaitlynnPeetz14
ChrisVanHollen,@NASA,@SenatorCardin,@SenBlumenthal,@SenWhitehouse,@MarkWarner,@timkaine,@SenDuckworth,@SenatorDurbin,@PattyMurray,@ChrisMurphyCT,@maziehirono,@SenGaryPeters,@SenatorTester,@RepJamesClyburn,@ChrisCoons,@JoaquinCastrotx,@SenFeinstein,@SenJackReed,@SenatorCarper,@SenBobCasey,@crmiller1,@DrWilliams_MC,@OMarkarova,@commercedems,@RepPressley,@SenTimKaine,@January6thCmte,@anneapplebaum,@MitchLandrieu46,@SecRaimondo,@LewisMuseum,@PrinceGeorgesMD,@SecBecerra,@SecMayorkas,@BaltimorePolice,@JortsTheCat,@davidshepardson,@cpsaDC,@RepKweisiMfume,@SecFudge,@TODAYshow,@Orioles,@SecDebHaaland,@wef,@SecCardona,@SBAgov,@umdhealthequity,@ODNIgov,@USDOT,@SecretaryPete,@USAmbUN,@SecBlinken,@hboushey46,@PostGraphics,@nytgraphics,@PWDforMaryland,@TimAlberta,@Reuters,@usnews,@AdvanceMaryland,@NFLTE82,@SenBillFerg,@DenisMcDonough,@SenAlexPadilla,@AmericasVoice,@econjared46,@EJusticeCaucus,@SenateBudget,@ossoff,@SenOssoff,
SenMarkey,@NASA,@maura_healey,@CoriBush,@JamaalBowmanNY,@ChrisMurphyCT,@AyannaPressley,@Ilhan,@RepMcGovern,@SenWhitehouse,@SenBlumenthal,@PattyMurray,@SenDuckworth,@MarkWarner,@maziehirono,@SenatorDurbin,@RepRashida,@RepPressley,@JoaquinCastrotx,@SenSherrodBrown,@brianschatz,@sagaftra,@kmorfs,@MassAudubon,@RepMaxwellFrost,@MaxwellFrostFL,@_isabelledotcom,@KanielaIng,@MarkHamill,@FousheeforNC,@sumershaikh245,@moderationlovin,@BrocktonBAT,@RepSummerLee,@StopBigOil,@JBKSchlossberg,@Gr8BosFoodBank,@IrelandLesley5,@taylorswift13,@chasestrangio,@chellamanart,@DallasDucar,@Marina_Chafa,@DrAvenelJoseph,@GreentownLabs,@PrernaJagadeesh,@challiance,@jdsuth,@davidhogg111,@MarkKassen,@ASP,@Grant2Will,@rewiringamerica,@MulcaheySchool,@HosmerSchool,@coach_leader,@RepChynahTyler,@cscoudriet,@Ed_Miliband,@StudentsDemand,@KrishVignarajah,@HS_QuizShow,@projectbread,@cabell_eames,@jguzmanlaw,@karaswisher,@Leahtommi,@CityBrockton,@unitehere,@unitehere23,@UHLocal25,
SenWarren,@VP,@ewarren,@SenSanders,@KamalaHarris,@FLOTUS,@SpeakerPelosi,@RepAdamSchiff,@SenSchumer,@JoeBiden,@DrBiden,@SecondGentleman,@SenateDems,@RepMaxineWaters,@RepKatiePorter,@CoryBooker,@RepJoeMorelle,@SenJackyRosen,@RepTedLieu,@RepBonnie,@WhipKClark,@MayorWu,@SenTimKaine,@MassAGO,@MassGovernor,@SenFettermanPA,@EricCortellessa,@SarabiaTX,@RepCori,@DFADCoalition,@WooSox,@MayorKimJaney,@LizBreadon,@KenzieBok,@RicardoNArroyo,@AJCampbellMA,@EdforBoston,@LydiaMEdwards,@wutrain,@juliaforboston,@mfflaherty,@AnnissaForBos,@MattOMalley,@Kim_Janey,@SenAlexPadilla,@DouglasEmhoff,@POTUS,@SenatorHick,@SenMarkKelly,@SecYellen,@TheBlackCaucus,@RepGwenMoore,@RepRonKind,@RepMarkPocan,@LtGovDennyHeck,@RepAdamSmith,@RepKimSchrier,@RepJayapal,@RepDerekKilmer,@RepRickLarsen,@RepDelBene,@GerryConnolly,@RepWexton,@RepDonBeyer,@RepSpanberger,@BobbyScott,,,,,,
SenGaryPeters,@NASA,@SenStabenow,@RepSlotkin,@stabenow,@PattyMurray,@SenatorTester,@SenBlumenthal,@SenWhitehouse,@GaryPeters,@ChrisVanHollen,@SenatorDurbin,@dananessel,@GovWhitmer,@maziehirono,@SenJackReed,@ChrisCoons,@SenatorBaldwin,@SenBobCasey,@SenatorCantwell,@SenatorHassan,@brettklmn5,@AlmaScots,@RepJasonCrow,@gervallaschwarz,@JudiciaryDems,@Senlaphonza,@GanderNewsroom,@claudiatenney,@JAdomian,@usembarmenia,@USAmbYerevan,@ANCA_DC,@SenFettermanPA,@drfeifei,@RepMacDonell,@UpperPeninsula,@DougJones,@DanMcKernan,@ckkhughes,@WinnieBrinks,@sarshapiro,@maggieNYT,@ryanjreilly,@joeflood,@USAmbUN,@CityOfSaginawMi,@umichhockey,@OfficialJLD,@geo3550,@SantaJOno,@DanJenDig,@marcus4polytics,@MSUGovRelations,@StudentsDemand,@RepNikkiB,@SpeakerJoeTate,@Hertelforsenate,@RepShriThanedar,@MalloryMcMorrow,@AHammoudMI,@ron_fournier,@MottCollege,@Dearborngov,@FerrisFootball,@NOAA,@funder,@EasternMichU,@SFRCdems,@SenatorWarnock,@WHCOS,
SenStabenow,@NASA,@SenGaryPeters,@stabenow,@PattyMurray,@SenBlumenthal,@SenWhitehouse,@migovernment,@freep,@dananessel,@SenatorTester,@SenatorDurbin,@GovWhitmer,@SenatorBaldwin,@ChrisVanHollen,@maziehirono,@SenSherrodBrown,@ChrisCoons,@SenatorCantwell,@JocelynBenson,@SenBillNelson,@TarynAsherFox2,@rbeggin,@ForestandPaper,@HenryFordHealth,@NAMICommunicate,@TheAmandaGorman,@Woodward_Dave,@singhsam94,@ShinkSue,@SenatorSantana,@SenPolehanki,@JeremyAllenMoss,@MalloryMcMorrow,@McdonaldRivet,@SeanAMcCann,@Kevin_Hertel,@Hertelforsenate,@MaryforMichigan,@WinnieBrinks,@SarahAnthony517,@StateRepSteph,@RepNateShannon,@RepRheingans,@VeroStateRep11,@RepMacDonell,@RepLiberati,@koleszar_matt,@jmhill926,@jim_haadsma,@JohnforMI,@AlabasFarhat,@Rep_Andrews,@Jaime_Churches,@SpeakerJoeTate,@PaulWojno,@vklinefelt11,@SenErikaGeiss,@rosemarybayer,@SenPeterWelch,@SenFettermanPA,@RepShriThanedar,@RepScholten,@MonaHannaA,@SecGranholm,@repdavidscott,@SecBecerra,@RickAlbinWoodTV,@SecFudge,@SecYellen,@UAW,
SenAmyKlobuchar,@NASA,@RepRaskin,@gillibrandny,@amyklobuchar,@ChrisMurphyCT,@SenBlumenthal,@SenWhitehouse,@SenBooker,@allinwithchris,@AriMelber,@SenTinaSmith,@clairecmc,@SenDuckworth,@SenatorDurbin,@maziehirono,@PattyMurray,@davidfrum,@DavidCornDC,@RepJerryNadler,@ChrisCoons,@MinnesotaTurkey,@GWLichtenstein,@johnmendezmog,@NYUMcSilver,@RepGaramendi,@ReynoldNesiba,@grant_hauschild,@sheryl4sd,@BetsyCoffia,@heather_edelson,@brioncurran,@RepKeeler,@DanielNKessler,@LisaforGeorgia,@RepSusieLee,@DamianCollins,@BBCSteveR,@Denise_A_Craig,@HuffmanForNC,@John_Burkel,@BenLaBolt46,@dberrygannett,@HeatherGrafTV,@shuwaskiyoung,@JonesHospodTX,@RoseSchmidtTV,@Cindy_Banyai_FL,@AprilDRyan,@TimSherno,@MitchLandrieu46,@RepJackLewis,@joellahoye,@vsawkar,@IndivisibleTeam,@virginiawillis,@jonathanhCNN,@MorilloIsolda,@AllieRaffa,@Fabien_Levy,@SuzanneMalveaux,@cenksidar,@RaquelMartinTV,@evaoutloud,@JeremyGorner,@oliverbutler,@AmHeartAdvocacy,@RepWolgamott,@sydney_zatz,@SteffThomasNews,@EricMGarcia,
SenTinaSmith,@SenAmyKlobuchar,@RepJasonCrow,@amyklobuchar,@SenWhitehouse,@SenBlumenthal,@SenDuckworth,@SenatorTester,@GovTimWalz,@maziehirono,@MPRnews,@gillibrandny,@SenSherrodBrown,@RepJerryNadler,@brianschatz,@ChrisCoons,@SenKevinCramer,@SenBobCasey,@RepJayapal,@RepDeanPhillips,@SenatorBaldwin,@MakenzieHuber,@NSheidlower,@AdamMGrant,@Ben_Beachy,@Rebekah_Sager,@RJonesNews,@johnknefel,@dfriedman33,@enchilanas,@NoahBookbinder,@jacktwheatley,@eliehonig,@AriDrennen,@mmfa,@thepngfile,@pwcdanica,@THETonyMorrison,@JoYurcaba,@doliver8,@NBCOUT,@pride_site,@them,@outmagazine,@MichaelBaggs,@paddykell,@itssophieperry,@MaggieBaska,@harriepw,@ChanBillson,@TheAdvocateMag,@Queerty,@PinkNews,@@PinkNews,@menomatters,@MenopauseOrg,@LTMenopause,@AlyssaMastro44,@morninggloria,@JOD46,@Marc_Perrone,@SusanRinkunas,@Jezebel,@BrooksRakim,@sjemorse,@Nadia_Mohameds,@erinlschumaker,@VanityFair,@carlquintanilla,@paulhuttnerwx,@HeartlandFwd,@JAMA_current
SenHydeSmith,@NASA,@SenKevinCramer,@SenatorWicker,@SenatorLankford,@SenJoniErnst,@SenatorBraun,@SenTuberville,@SenatorRisch,@SenJohnKennedy,@SenThomTillis,@JohnCornyn,@SenJohnHoeven,@MikeCrapo,@SenBillCassidy,@SenatorFischer,@SenCapito,@JerryMoran,@SenatorTimScott,@SenJohnBarrasso,@SenDanSullivan,@SenatorRicketts,@PeteRicketts,@RedCrossMiss,@DotyDotySally,@SenTedBuddNC,@March_for_Life,@RepEzell,@JDVance1,@TedBuddNC,@SenKatieBritt,@SenEricSchmitt,@SenMullin,@AccelerateMS,@MS_aquarium,@MSHwyPatrol,@desoto_news,@NAMIMississippi,@scenicriversMS,@gtr_link,@BradleyRayWhite,@TAPSorg,@MSWildlifeFed,@USAFReserve,@UsmmaO,@AF_Academy,@MSDeptofAg,@GoJSUTigersWBB,@NKF_Advocacy,@RogerMarshallMD,@BordeauxFrank,@SenatorHagerty,@CapitolPolice,@POTUS,@VP,@SenLummis,@JHSPH_CHS,@SenateCommerce,@CorinthAlliance,@TCBPubHealth,@mississippiSBDC,@EPASoutheast,@SpaceForceDoD,@MSForestryComm,@Indigoag,@EricTrump,@SenatorLoeffler,@SecondLady45,@DailySignal,@CoahomaCC,,
SenatorWicker,@SenatorRisch,@MikeCrapo,@JerryMoran,@SenJohnBarrasso,@SenatorFischer,@SenJohnHoeven,@SenatorEnzi,@JohnBoozman,@SenKevinCramer,@SenThomTillis,@RoyBlunt,@SenJohnThune,@SenThadCochran,@SenPatRoberts,@SenCapito,@SenatorLankford,@lisamurkowski,@SenJoniErnst,@SenatorCollins,@SenAlexander,@YKevinKim,@SpeakerJohnson,@BarakRavid,@FoxBusiness,@TeamCavuto,@AJCongress,@MikeEmanuelFox,@Olivia_Beavers,@KMTOutdoors,@frankthorp,@cdrsalamander,@RussLatino,@ASACivilWorks,@ekaramurza,@RepJimBanks,@EricTrager18,@marcthiessen,@ashleyrgold,@nancyayoussef,@foxnewsradio,@TheLeadCNN,@BillHemmer,@bergerrichard,@EricShawnTV,@RobbieGramer,@AlexRouhandeh,@RepEzell,@navalny,@SenJackReed,@IRFSummit,@SenVancePress,@SenEricSchmitt,@SenMullin,@SenKatieBritt,@SenTedBuddNC,@lizbrownkaiser,@USAfricaCommand,@Starkville_FD,@MHPTroopM,@pascagoulapd,@RepCloakroom,@alan_lange,@Starkville_PD,@Lane_Kiffin,@SteveScalise,@INDOPACOM,@grgibert,@NatPoliceAssoc,@Mike_Pence,@ShaunKraisman,
HawleyMO,@bennyjohnson,@marklevinshow,@KariLake,@tedcruz,@RepMattGaetz,@JesseBWatters,@JudicialWatch,@DonaldJTrumpJr,@SenTomCotton,@MOFarmBureau,@jeffreykearl,@JohnDWiemann,@DavidWillisMO,@thisweekinmopol,@Rep_TRichardson,@abciv,@Kathyswan147,@HurstBlake,@MikeCierpiot,@JoeDonMcGaugh,@keith_marquis,@RobertKennedyJr,@WBLittlejohn,@abigailmarone,@Riley_Gaines_,@PeterAttiaMD,@willcain,@VictorSwift,@hubermanlab,@BioLayne,@michaeljknowles,@JonnyRoot_,@William_E_Wolfe,@GrahamAllen_1,@DelanoSquires,@GShaneMorris,@greg_price11,@mirandadevine,@MattWalshBlog,@ErikReed,@JamesArkin,@elevation_wrshp,@mitchholthus,@Chiefs,@RandyRRQuaid,@SethDillon,@danorlovsky7,@alexbruesewitz,@walterkirn,@PastorMark,@johnlovell275,@clydeprestowitz,@BuckSexton,@shellenberger,@JoshDaws,@realchrisrufo,@austinjdahmer,@marcorubio,@DrJBhattacharya,@libsoftiktok,@seanmdav,@bariweiss,@Mmontsealvarado,@JoelWBerry,@BillMelugin_,@yhazony,@pnjaban,@amconmag,@JonathanLSilver,,
SenEricSchmitt,@RepMarkAlford,@SenatorRicketts,@RepEricBurlison,@GovParsonMO,@SenKatieBritt,@LtGovMikeKehoe,@SenatorRomney,@SenatorBraun,@SenTuberville,@SenatorLankford,@SenBillCassidy,@SenLummis,@lisamurkowski,@SenHydeSmith,@SenatorRounds,@SenJohnThune,@SenJohnBarrasso,@SenToddYoung,@JohnBoozman,@SenJohnHoeven,@Weaponization,@johncombest_com,@realDailyWire,@benshapiro,@CallyGingrich,@newtgingrich,@TheBennyShowPod,@shellenberger,@joerogan,@katesrichardson,@MorningsMaria,@elonmusk,@JudicialWatch,@larry_kudlow,@FoxBusiness,@EdwardLawrence,@_phillipsmorgan,@RichEdsonDC,@JakeSherman,@DonaldJTrumpJr,@benfergusonshow,@AmericaRpts,@SteveGuest,@ChuckRossDC,@dcexaminer,@PunchbowlNews,@WendellHusebo,@NRO,@FreeBeacon,@LisaMarieBoothe,@joelpollak,@pdoocy,@radio_marino,@ChrisPlanteShow,@FoxNewsAI,@EricBollingShow,@cthompsontv,@seanmdav,@HeyTammyBruce,@Missourinet,@NEWSMAX,@JamesRosenTV,@SchmittNYC,@A1Policy,@burgessev,@igorbobic,@mattdizwhitlock,@SteveScalise,@BretBaier,@marklevinshow,
SteveDaines,@SenKevinCramer,@SenatorLankford,@SenTomCotton,@GregForMontana,@SenJoniErnst,@RepBradWenstrup,@SenatorBraun,@SenJohnHoeven,@SenatorRisch,@SenJohnBarrasso,@GovGianforte,@MikeCrapo,@SenThomTillis,@SenatorTester,@JohnCornyn,@SenMikeLee,@SenJohnThune,@SenCapito,@JerryMoran,@SenatorWicker,@MTGOP,@SpeakerJohnson,@IsraelWarRoom,@KatalinNovak_HU,@Olivia_Beavers,@ynetnews,@J_Insider,@SheehyforMT,@Telegraph,@russianforces,@WVGovernor,@NORADCommand,@SarahHuckabee,@SamWiesneth,@RobinPaone,@MatthewLloyd,@SenKatieBritt,@PeterZeihan,@alexbruesewitz,@bgmasters,@cwdaines,@CSLewisDaily,@RachelDumke9,@KernenBlake,@elonmusk,@ChrisAverillMT,@james_levinson,@Deborah35825615,@Gerashchenko_en,@seanhannity,@AnastasiaRadina,@BenjaminHallFNC,@RealTimeNews10,@KyivIndependent,@TreyYingst,@nolanwpeterson,@dannydeurbina,@saylor,@philippilk,@RobbErickson3,@SenTuberville,@MeMeMiddleClass,@jeremycarl4,@alexrego_tweets,@timkellernyc,@roddreher,@MTrider16,@RepRosendale,@BorgataSports,,
SenatorTester,@ChrisMurphyCT,@clairecmc,@PattyMurray,@SenBlumenthal,@SenGaryPeters,@jontester,@MarkWarner,@maziehirono,@SenDuckworth,@ChrisVanHollen,@ChrisCoons,@SenatorDurbin,@Sen_JoeManchin,@SenSherrodBrown,@SenatorBaldwin,@SenBobCasey,@SenJackReed,@SenAngusKing,@daily_montanan,@MansfieldCenter,@bradmwarren,@SenAlexPadilla,@SenKevinCramer,@ElizLanders,@NewsHour,@EliCousin,@SenPeterWelch,@CollinsWilmot,@MikeMNugent,@RepSpanberger,@NFUDC,@wwp,@davidaxelrod,@ruralhealth,@MitchLandrieu46,@OfficialMLK3,@jacobmspringer,@ChiefNGB,@thehairykid,@SecVetAffairs,@C_Roberts310,@DenisMcDonough,@GovGianforte,@SenLummis,@SenatorLujan,@SenatorHick,@SenMarkKelly,@95Cormac,@ElieNYC,@RmadisonMT,@DylanLaslovich,@royloew,@porkchoppipe,@EDFaction,@patstranix,@MylesBugbee,@JimInhofe,@SenateGOP,@GrahamBlog,@marcorubio,@SenAlexander,@SenCapito,@SenToddYoung,@MarshaBlackburn,@SenBooker,@SenJoniErnst,@SenDanSullivan,,,,
SenatorFischer,@SenatorRisch,@MikeCrapo,@SenatorWicker,@JerryMoran,@SenJohnHoeven,@SenJohnBarrasso,@JohnBoozman,@SenCapito,@SenThomTillis,@lisamurkowski,@RoyBlunt,@JohnCornyn,@SenJoniErnst,@SenatorCollins,@SenJohnThune,@SenatorLankford,@SenDanSullivan,@SenAlexander,@SenJackReed,@SenKevinCramer,@RodneyDBennett,@BasedMikeLee,@USRepMikeFlood,@SenatorRicketts,@TeamPillen,@CooksleyBarbara,@BWallaceMP,@trussliz,@JacquiHeinrich,@DougAndres,@SenatorLujan,@edokeefe,@nytimes,@AmericaNewsroom,@LucasFoxNews,@NTVsGrow,@asanderford,@SenLummis,@RogerMarshallMD,@NefbPres,@ChildrensNE,@SecVilsack,@SenatorHagerty,@SenJohnKennedy,@SenBillCassidy,@SenTuberville,@SenTinaSmith,@NE_TF1,@USDA,@Food4Heartland,@NebraskaMed,@JackMitchellLNK,@KLINRadio,@NEDHHS,@BrendanCarrFCC,@NebraskaSociety,@unmc,@jeffreypgold,@NTVNewsColleen,@NTVNEWS,@UofNE_President,@NTVsSaraKirkley,@RuralRadioNet,@NationalCorn,@UNLBeef,@NECornBoard,@firefighter89,@BDoeschot,@NECattlemen,,
SenatorRicketts,@NEAttorneyGen,@TeamPillen,@RepDonBacon,@SenEricSchmitt,@jim_pillen,@NE_Examiner,@USRepMikeFlood,@PaulHammelNE,@SenTuberville,@SenKatieBritt,@SenMullin,@Flood4Nebraska,@NEFarmBureau,@SenatorBraun,@SenatorLankford,@SenJoniErnst,@NebraskaYR,@SenJohnBarrasso,@JohnBoozman,@DonJBacon,@FCSAmerica,@RebeccaRoseGold,@LNLMikeBell,@FoxNewsSunday,@SchmittNYC,@hughhewitt,@FoxNews,@philosproject,@OmahaYR,@dcexaminer,@sbaprolife,@FoxNewsAI,@IWV,@TrevAlberts,@HuskerVB,@Riley_Gaines_,@jordybahl,@goknights77,@almaloveyoona,@u_nebraska,@NCITE_COE,@LincolnChamber,@HIBA_Nebraska,@CapitolPolice,@ChadPergram,@KAAPALLC,@MaryMargOlohan,@DailySignal,@SenatorDurbin,@mdubowitz,@davidpopp,@Heritage_Action,@ProfPetePoppert,@BDoeschot,@DoaneUniversity,@HuskerTFXC,@Tyson_Havranek,@KRGINews,@ScottyVKFAB,@Nebraska511,@OmahaSB,@OmahaBSB,@OmahaHKY,@OmahaWBB,@HuskerWBB,@CreightonWBB,@CU_Baseball,@CreightonVB,@BluejayMBB,@creightonmsoc,
SenCortezMasto,@NASA,@SenJackyRosen,@SenDuckworth,@MarkWarner,@PattyMurray,@SenatorTester,@ChrisVanHollen,@gillibrandny,@SenatorBaldwin,@RepSusieLee,@maziehirono,@SenKevinCramer,@SenatorHassan,@SenatorMenendez,@SteveSisolak,@SenTinaSmith,@SenatorCantwell,@SenJackReed,@SenBrianSchatz,@TheNVIndy,@UNRLakeTahoe,@POTUS,@SphereVegas,@BCTNNevada,@CiscoAguilar,@lmwodarski,@NevadaWingCAP,@VARenoNevada,@LASairport,@Teamsters,@EricaMosca14,@comstockinc,@ClimatePower,@SenatorLujan,@SenAlexPadilla,@NVIC_gov,@CommishMcCurdy,@Pres_Sandoval,@SenatorHick,@AnaCabrera,@DeathValleyNPS,@amjoyshow,@DiversifyNevada,@AHLA,@NevadaResorts,@AmericanGaming,@ProtectOurCare,@ahcancal,@@ahcancal,@TelemundoEPET,@Raiders,@EPWCmte,@NVSOS,@_ajawilson22,@RepEspaillat,@EdAllianceWasho,@NVTreasurer,@NvDOW,@LapulgadeLV,@EstaEnTusManosN,@TravelNevada,@EddyHouseReno,@KeepTahoeBlue,@Kidsspeak4parks,@NevadaSBDC,@maketheroadnv,@NevadaHANDLV,@Nature_Nevada,@USCG,@GUPolitics,@nvhousing
SenJackyRosen,@NASA,@SenCortezMasto,@SenDuckworth,@RepSusieLee,@ChrisVanHollen,@gillibrandny,@SenKevinCramer,@SenatorBaldwin,@SenTinaSmith,@SenatorHick,@SenJackReed,@TheNVIndy,@repdinatitus,@SenatorHassan,@SenAngusKing,@SenatorShaheen,@SenatorCarper,@RepHorsford,@SenGaryPeters,@MickyWhiteNV,@TTDAFLCIO,@BrightlineWest,@MitchLandrieu46,@SenPeterWelch,@SenFettermanPA,@JosephMLombardo,@UNRLakeTahoe,@Creech_AFB,@vegasdesertdogs,@JenniferLopezNV,@rttaylor15,@DR_BCW,@WHCOVIDResponse,@nevadadotreno,@SecondGentleman,@NVSOS,@renownhealth,@RepJamesClyburn,@HowardWattsNV,@OliviaDiazLV,@CommishTick,@LGCanoBurkhead,@MichaelNaft,@Renzo_Olivari,@stew_boss,@lizzyleer,@GrantDubler,@SenateForeign,@SFRCdems,@NellisAFB,@CTATech,@RepTedDeutch,@eileensfloral,@BrandUSA,@DeptofDefense,@DHSgov,@henrovak,@NatlHeadStart,@Space_Station,@AHousefather,@TMobileArena,@NYNYVegas,@JulianaUrtubey3,@ActiveRetirees,@FLOTUS,@unlvmedicine,@211Nevada,@ClaimsCon,@DrPollard_NS,@accessnow,
