JohnCornyn,@MarshaBlackburn,@SenJohnKennedy,@HawleyMO,@SenAmyKlobuchar,@SenJohnBarrasso,@SenatorRicketts,@SenatorRomney,@SenJohnThune,@SenTedCruz,@SenRickScott,@ChuckGrassley,@ChrisMurphyCT,@SenTedBuddNC,@SenMikeLee,@marcorubio,@LeaderMcConnell,@SenThomTillis,@JohnCornyn,@SenTomCotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeaderMcConnell,@SenTuberville,@HawleyMO,@SenWhitehouse,@SenJohnBarrasso,@SenatorRomney,@MikeCrapo,@SenJohnThune,@ChuckGrassley,@SenRickScott,@SenToddYoung,@SenSchumer,@SenatorDurbin,@SenMarkKelly,@marcorubio,@SenAlexPadilla,@SenBlumenthal,@SenJoniErnst,@LeaderMcConnell,@SenatorWicker,@JohnCornyn,@SenMikeLee,@SenTomCotton,@SenGillibrand,@SenatorRisch,@MarshaBlackburn,@SenJohnKennedy,@SenSherrodBrown,@lisamurkowski,@SenDanSullivan,@SenCapito,@SenRonJohnson,@SenTedCruz,@PattyMurray,@ossoff,@SenatorRounds,@SenSanders,@SenWarren,@SenatorCollins,@SenRandPaul,@SenatorTester,@SenThomTillis,@BillCassidy,@SenDuckworth,,,,,,,
lisamurkowski,@SenKatieBritt,@SenJohnBarrasso,@SenatorRomney,@SenCortezMasto,@SenJohnThune,@SenRickScott,@SenatorBaldwin,@SenSchumer,@SenJohnHoeven,@SenatorBennet,@JohnBoozman,@SenBlumenthal,@SenJoniErnst,@SenatorTimScott,@LeaderMcConnell,@JohnCornyn,@SenTomCotton,@SenMikeLee,@MarshaBlackburn,@SenatorBraun,@SenJohnKennedy,@lisamurkowski,@SenDanSullivan,@RogerMarshallMD,@PattyMurray,@SenRonJohnson,@SenTedCruz,@SenatorHassan,@SteveDaines,@SenKevinCramer,@SenBobCasey,@SenatorRounds,@SenSanders,@ChrisCoons,@SenWarren,@SenatorCollins,@SenRandPaul,@SenThomTillis,@BillCassidy,,,,,,,,,,,
marcorubio,@SenJohnKennedy,@MarshaBlackburn,@MarkWarner,@SenTuberville,@HawleyMO,@SenJohnThune,@SenRonJohnson,@SenTedCruz,@SenatorCardin,@SenRickScott,@ChuckGrassley,@ChrisVanHollen,@PattyMurray,@SenSchumer,@SenMikeLee,@marcorubio,@SenatorCollins,@SenBlumenthal,@LeaderMcConnell,@SenatorWicker,@JohnCornyn,@SenTomCotton,@SenGillibrand,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,,,,,
MarkWarner,@SenJohnKennedy,@marcorubio,@MarkWarner,@SenWhitehouse,@RonWyden,@MikeCrapo,@SenTimKaine,@SenSchumer,@SenGillibrand,@SenatorDurbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarshaBlackburn,@SenKatieBritt,@SenTuberville,@HawleyMO,@SenJohnBarrasso,@SenCortezMasto,@ChuckGrassley,@SenRickScott,@SenVancePress,@SenSchumer,@SenatorHagerty,@SenatorDurbin,@SenMarkey,@marcorubio,@JohnBoozman,@SenJoniErnst,@SenatorTimScott,@LeaderMcConnell,@SenatorLankford,@JohnCornyn,@SenTomCotton,@SenMikeLee,@SenatorRisch,@SenatorLujan,@MarshaBlackburn,@SenatorBraun,@SenJohnKennedy,@SenCapito,@SenDanSullivan,@RogerMarshallMD,@SenRonJohnson,@SenTedCruz,@SenatorHassan,@JerryMoran,@ossoff,@SenTedBuddNC,@SteveDaines,@Senlaphonza,@SenKevinCramer,@SenSanders,@SenWarren,@SenRandPaul,@SenThomTillis,,,,,,,,
maziehirono,@MarkWarner,@HawleyMO,@SenWhitehouse,@RonWyden,@SenCortezMasto,@maziehirono,@SenatorBaldwin,@SenatorShaheen,@SenJeffMerkley,@SenSchumer,@brianschatz,@SenatorBennet,@SenatorDurbin,@SenMarkey,@SenatorCantwell,@SenStabenow,@SenatorMenendez,@SenAngusKing,@SenGillibrand,@SenSherrodBrown,@SenJackReed,@SenAmyKlobuchar,@PattyMurray,@SenatorHassan,@ChrisMurphyCT,@SenBobCasey,@SenWarren,@SenatorCollins,@SenDuckworth,@SenTinaSmith,@SenJackyRosen,,,,,,,,,,,,,,,,,,,
MikeCrapo,@SenJohnKennedy,@MarkWarner,@SenSherrodBrown,@RonWyden,@SenDanSullivan,@SenatorRicketts,@MikeCrapo,@SenJohnBarrasso,@SenatorCardin,@SenTedCruz,@JerryMoran,@SteveDaines,@SenKevinCramer,@SenatorDurbin,@SenRandPaul,@SenatorCollins,@SenStabenow,@SenatorTester,@SenJoniErnst,@SenatorTimScott,@BillCassidy,@JohnCornyn,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,,,,,,
ossoff,@MarshaBlackburn,@SenTuberville,@MarkWarner,@HawleyMO,@SenWhitehouse,@SenSherrodBrown,@RonWyden,@SenJohnThune,@PattyMurray,@SenTedCruz,@SenBooker,@maziehirono,@ChrisMurphyCT,@SenJeffMerkley,@ossoff,@SenSchumer,@SenatorSinema,@SenatorDurbin,@SenSanders,@SenMarkey,@SenMarkKelly,@SenWarren,@SenAlexPadilla,@ReverendWarnock,@SenBlumenthal,@LeaderMcConnell,@SenGillibrand,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,
PattyMurray,@SenJohnKennedy,@SenTuberville,@SenSherrodBrown,@lisamurkowski,@SenDanSullivan,@SenatorRomney,@PattyMurray,@ChrisVanHollen,@ChrisMurphyCT,@SenJeffMerkley,@SenSchumer,@brianschatz,@SenMarkey,@SenSanders,@marcorubio,@SenatorCantwell,@SenWarren,@SenPeterWelch,@SenatorCollins,@SenAlexPadilla,@SenStabenow,@SenGaryPeters,@LeaderMcConnell,@SenDuckworth,@SenGillibrand,,,,,,,,,,,,,,,,,,,,,,,,,
